utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_LU_load_actual_entsoe_transparency,DE_LU_price_day_ahead
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,41151,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,40135,,
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,39106,,
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,38765,,
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,38941,,
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,39045,,
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,40206,,
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,41133,,
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,42963,,
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,45088,,
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,47013,,
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,48159,,
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,47164,,
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,46752,,
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,47403,,
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,49440,,
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,53410,,
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,53672,,
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,53012,,
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,50313,,
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,48730,,
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,48624,,
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,45668,,
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,42424,,
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,40577,,
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,39707,,
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,39504,,
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,40391,,
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,42382,,
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,45679,,
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,50418,,
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,54131,,
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,56505,,
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,58447,,
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,59453,,
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,59201,,
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,58564,,
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,57721,,
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,57276,,
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,58813,,
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,61605,,
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,61645,,
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,59283,,
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,55622,,
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,53186,,
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,50691,,
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,45323,,
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,40464,,
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,38338,,
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,36897,,
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,36104,,
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,36453,,
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,36839,,
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,38073,,
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,40819,,
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,44119,,
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,47421,,
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,49756,,
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,51917,,
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,52205,,
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,52147,,
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,50677,,
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,50478,,
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,52820,,
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,55854,,
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,56259,,
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,55017,,
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,50801,,
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,48359,,
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,47968,,
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,45427,,
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,42806,,
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,38517,,
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,37082,,
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,36575,,
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,36793,,
2015-01-04T04:00:00Z,2015-01-04T05:00:00+0100,36336,,
2015-01-04T05:00:00Z,2015-01-04T06:00:00+0100,35592,,
2015-01-04T06:00:00Z,2015-01-04T07:00:00+0100,38255,,
2015-01-04T07:00:00Z,2015-01-04T08:00:00+0100,41037,,
2015-01-04T08:00:00Z,2015-01-04T09:00:00+0100,43899,,
2015-01-04T09:00:00Z,2015-01-04T10:00:00+0100,46915,,
2015-01-04T10:00:00Z,2015-01-04T11:00:00+0100,50252,,
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,50784,,
2015-01-04T12:00:00Z,2015-01-04T13:00:00+0100,48824,,
2015-01-04T13:00:00Z,2015-01-04T14:00:00+0100,47517,,
2015-01-04T14:00:00Z,2015-01-04T15:00:00+0100,47398,,
2015-01-04T15:00:00Z,2015-01-04T16:00:00+0100,49465,,
2015-01-04T16:00:00Z,2015-01-04T17:00:00+0100,53400,,
2015-01-04T17:00:00Z,2015-01-04T18:00:00+0100,54108,,
2015-01-04T18:00:00Z,2015-01-04T19:00:00+0100,52621,,
2015-01-04T19:00:00Z,2015-01-04T20:00:00+0100,50243,,
2015-01-04T20:00:00Z,2015-01-04T21:00:00+0100,48877,,
2015-01-04T21:00:00Z,2015-01-04T22:00:00+0100,48808,,
2015-01-04T22:00:00Z,2015-01-04T23:00:00+0100,46024,,
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,42658,,
2015-01-05T00:00:00Z,2015-01-05T01:00:00+0100,40699,,
2015-01-05T01:00:00Z,2015-01-05T02:00:00+0100,39447,,
2015-01-05T02:00:00Z,2015-01-05T03:00:00+0100,39513,,
2015-01-05T03:00:00Z,2015-01-05T04:00:00+0100,40440,,
2015-01-05T04:00:00Z,2015-01-05T05:00:00+0100,43931,,
2015-01-05T05:00:00Z,2015-01-05T06:00:00+0100,50074,,
2015-01-05T06:00:00Z,2015-01-05T07:00:00+0100,56244,,
2015-01-05T07:00:00Z,2015-01-05T08:00:00+0100,59860,,
2015-01-05T08:00:00Z,2015-01-05T09:00:00+0100,61179,,
2015-01-05T09:00:00Z,2015-01-05T10:00:00+0100,62104,,
2015-01-05T10:00:00Z,2015-01-05T11:00:00+0100,63018,,
2015-01-05T11:00:00Z,2015-01-05T12:00:00+0100,62952,,
2015-01-05T12:00:00Z,2015-01-05T13:00:00+0100,62108,,
2015-01-05T13:00:00Z,2015-01-05T14:00:00+0100,61182,,
2015-01-05T14:00:00Z,2015-01-05T15:00:00+0100,60450,,
2015-01-05T15:00:00Z,2015-01-05T16:00:00+0100,61342,,
2015-01-05T16:00:00Z,2015-01-05T17:00:00+0100,65130,,
2015-01-05T17:00:00Z,2015-01-05T18:00:00+0100,64886,,
2015-01-05T18:00:00Z,2015-01-05T19:00:00+0100,63242,,
2015-01-05T19:00:00Z,2015-01-05T20:00:00+0100,59162,,
2015-01-05T20:00:00Z,2015-01-05T21:00:00+0100,56346,,
2015-01-05T21:00:00Z,2015-01-05T22:00:00+0100,54730,,
2015-01-05T22:00:00Z,2015-01-05T23:00:00+0100,50564,,
2015-01-05T23:00:00Z,2015-01-06T00:00:00+0100,47317,,
2015-01-06T00:00:00Z,2015-01-06T01:00:00+0100,45011,,
2015-01-06T01:00:00Z,2015-01-06T02:00:00+0100,44015,,
2015-01-06T02:00:00Z,2015-01-06T03:00:00+0100,44049,,
2015-01-06T03:00:00Z,2015-01-06T04:00:00+0100,44730,,
2015-01-06T04:00:00Z,2015-01-06T05:00:00+0100,46416,,
2015-01-06T05:00:00Z,2015-01-06T06:00:00+0100,50597,,
2015-01-06T06:00:00Z,2015-01-06T07:00:00+0100,55697,,
2015-01-06T07:00:00Z,2015-01-06T08:00:00+0100,57954,,
2015-01-06T08:00:00Z,2015-01-06T09:00:00+0100,59295,,
2015-01-06T09:00:00Z,2015-01-06T10:00:00+0100,60723,,
2015-01-06T10:00:00Z,2015-01-06T11:00:00+0100,61744,,
2015-01-06T11:00:00Z,2015-01-06T12:00:00+0100,61628,,
2015-01-06T12:00:00Z,2015-01-06T13:00:00+0100,60697,,
2015-01-06T13:00:00Z,2015-01-06T14:00:00+0100,59259,,
2015-01-06T14:00:00Z,2015-01-06T15:00:00+0100,58836,,
2015-01-06T15:00:00Z,2015-01-06T16:00:00+0100,60089,,
2015-01-06T16:00:00Z,2015-01-06T17:00:00+0100,63969,,
2015-01-06T17:00:00Z,2015-01-06T18:00:00+0100,64219,,
2015-01-06T18:00:00Z,2015-01-06T19:00:00+0100,63346,,
2015-01-06T19:00:00Z,2015-01-06T20:00:00+0100,59695,,
2015-01-06T20:00:00Z,2015-01-06T21:00:00+0100,57114,,
2015-01-06T21:00:00Z,2015-01-06T22:00:00+0100,54886,,
2015-01-06T22:00:00Z,2015-01-06T23:00:00+0100,50639,,
2015-01-06T23:00:00Z,2015-01-07T00:00:00+0100,47308,,
2015-01-07T00:00:00Z,2015-01-07T01:00:00+0100,45125,,
2015-01-07T01:00:00Z,2015-01-07T02:00:00+0100,44217,,
2015-01-07T02:00:00Z,2015-01-07T03:00:00+0100,44368,,
2015-01-07T03:00:00Z,2015-01-07T04:00:00+0100,45298,,
2015-01-07T04:00:00Z,2015-01-07T05:00:00+0100,48598,,
2015-01-07T05:00:00Z,2015-01-07T06:00:00+0100,56626,,
2015-01-07T06:00:00Z,2015-01-07T07:00:00+0100,63293,,
2015-01-07T07:00:00Z,2015-01-07T08:00:00+0100,65964,,
2015-01-07T08:00:00Z,2015-01-07T09:00:00+0100,66400,,
2015-01-07T09:00:00Z,2015-01-07T10:00:00+0100,67746,,
2015-01-07T10:00:00Z,2015-01-07T11:00:00+0100,68507,,
2015-01-07T11:00:00Z,2015-01-07T12:00:00+0100,68100,,
2015-01-07T12:00:00Z,2015-01-07T13:00:00+0100,67248,,
